OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-24,2019-029D,2022-05-16T15:42:13.919328,15.30333470,.0005053,53.0080,259.1168,291.2369,68.8090,0,U,44238,999,16335,.31164E-2,.93528E-3,0
STARLINK-61,2019-029Q,2022-05-16T22:47:40.383744,15.46787318,.001526,52.9720,214.4423,1.6462,358.4591,0,U,44249,999,16574,.3451E-2,.180189E-2,0
STARLINK-71,2019-029T,2022-05-16T17:01:25.699872,15.32872415,.0005229,52.9987,255.1638,285.6208,74.4215,0,U,44252,999,16405,.27296E-2,.88587E-3,0
STARLINK-1007,2019-074A,2022-05-16T21:43:54.568416,15.06399476,.0001262,53.0536,319.0579,63.4696,296.6422,0,U,44713,999,13882,.42692E-3,.6083E-4,0
STARLINK-1008,2019-074B,2022-05-16T16:26:47.645952,15.06401677,.0001499,53.0543,320.0722,69.1522,290.9628,0,U,44714,999,13879,.15622E-3,.2046E-4,0
STARLINK-1009,2019-074C,2022-05-16T22:33:02.537280,15.06390908,.0001395,53.0564,318.9235,89.2462,270.8687,0,U,44715,999,13899,.34822E-4,.237E-5,0
STARLINK-1010,2019-074D,2022-05-16T21:24:02.157696,15.06399299,.0001436,53.0556,319.1429,86.5474,273.5679,0,U,44716,999,13880,.14356E-3,.1857E-4,0
STARLINK-1011,2019-074E,2022-05-16T19:45:51.062688,15.06392838,.0001792,53.0559,339.4260,49.1590,310.9554,0,U,44717,999,13853,.41471E-5,-.22E-5,0
STARLINK-1012,2019-074F,2022-05-16T22:17:06.650880,15.06402809,.0001304,53.0563,318.9733,77.6360,282.4775,0,U,44718,999,13899,-.82388E-4,-.1508E-4,0
STARLINK-1013,2019-074G,2022-05-17T00:03:16.051104,15.06394179,.0001423,53.0550,318.6446,63.3388,296.7747,0,U,44719,999,13900,.62808E-4,.654E-5,0
STARLINK-1014,2019-074H,2022-05-16T21:18:43.066944,15.06410718,.0001496,53.0561,319.1400,71.0973,289.0178,0,U,44720,999,13882,.17711E-3,.2358E-4,0
STARLINK-1015,2019-074J,2022-05-16T21:02:47.940000,15.06396171,.0001392,53.0547,319.2033,64.5780,295.5353,0,U,44721,999,13881,.29991E-4,.165E-5,0
STARLINK-1016,2019-074K,2022-05-16T22:43:38.989920,15.06389717,.000137,53.0568,318.8865,83.0035,277.1110,0,U,44722,999,13900,.44096E-4,.375E-5,0
STARLINK-1017,2019-074L,2022-05-16T23:04:53.534208,15.06397103,.0001386,53.0535,318.8269,81.6221,278.4925,0,U,44723,999,13900,.32299E-3,.4532E-4,0
STARLINK-1019,2019-074M,2022-05-16T19:00:43.531200,15.06395758,.0001516,53.0571,319.5909,60.1722,299.9417,0,U,44724,999,13880,.70974E-4,.776E-5,0
STARLINK-1020,2019-074N,2022-05-16T20:44:13.714368,15.06401311,.0001413,53.0549,339.2457,76.2867,283.8279,0,U,44725,999,13853,.20076E-3,.271E-4,0
STARLINK-1021,2019-074P,2022-05-16T22:06:30.009888,15.06393568,.0001271,53.0546,319.0007,73.0806,287.0322,0,U,44726,999,13899,.84495E-4,.977E-5,0
STARLINK-1022,2019-074Q,2022-05-16T21:22:40.168416,15.06399717,.0001665,53.0555,359.1415,69.9226,290.1942,0,U,44727,999,13827,.42026E-4,.344E-5,0
STARLINK-1024,2019-074S,2022-05-16T06:16:31.454688,15.12616308,.0001637,53.0011,333.3182,120.0028,240.1126,0,U,44729,999,13870,.12169E-2,.21267E-3,0
STARLINK-1026,2019-074U,2022-05-16T19:11:20.574816,15.06395288,.0001466,53.0575,319.5402,81.0444,279.0711,0,U,44731,999,13880,.12825E-3,.1629E-4,0
STARLINK-1027,2019-074V,2022-05-17T01:14:55.274496,15.06390165,.0001359,53.0557,338.4052,67.9897,292.1237,0,U,44732,999,13873,-.49184E-4,-.1014E-4,0
STARLINK-1028,2019-074W,2022-05-16T20:25:38.359488,15.06405338,.0001494,53.0547,319.3130,77.7861,282.3295,0,U,44733,999,13881,-.46829E-4,-.979E-5,0
STARLINK-1029,2019-074X,2022-05-16T19:11:19.598496,15.06400685,.0001292,53.0541,239.5504,69.4490,290.6638,0,U,44734,999,13990,-.10154E-3,-.1794E-4,0
STARLINK-1030,2019-074Y,2022-05-16T20:38:55.226688,15.06402621,.0001718,53.0561,339.2682,67.1551,292.9619,0,U,44735,999,13853,.26596E-3,.3682E-4,0
STARLINK-1031,2019-074Z,2022-05-16T22:35:41.616096,15.06395565,.0001754,53.0545,338.9202,68.5525,291.5651,0,U,44736,999,13872,.8432E-4,.974E-5,0
STARLINK-1032,2019-074AA,2022-05-17T00:27:09.132480,15.06393721,.0001533,53.0545,338.5731,64.9684,295.1464,0,U,44737,999,13873,.21722E-4,.42E-6,0
STARLINK-1033,2019-074AB,2022-05-16T16:08:13.366752,15.06396195,.0001494,53.0550,340.1238,59.7215,300.3921,0,U,44738,999,13850,.83418E-4,.961E-5,0
STARLINK-1052,2019-074AC,2022-05-16T20:48:10.445184,15.13283052,.0001317,52.9966,330.6936,145.0227,215.0851,0,U,44739,999,13861,.15762E-2,.28186E-3,0
STARLINK-1035,2019-074AD,2022-05-16T19:35:13.801344,15.06399178,.0001656,53.0557,339.4759,63.3149,296.8010,0,U,44740,999,13853,.13079E-3,.1667E-4,0
STARLINK-1036,2019-074AE,2022-05-16T19:51:09.371520,15.06394527,.0001572,53.0552,339.4176,66.8179,293.2975,0,U,44741,999,13853,.49896E-4,.462E-5,0
STARLINK-1037,2019-074AF,2022-05-16T21:16:34.742208,15.14565946,.0000935,52.9961,325.4526,105.6837,254.4258,0,U,44742,999,13869,.16565E-2,.30744E-3,0
STARLINK-1038,2019-074AG,2022-05-16T21:02:48.412608,15.06399517,.0001611,53.0569,359.2013,69.1442,290.9720,0,U,44743,999,13835,.10943E-3,.1349E-4,0
STARLINK-1039,2019-074AH,2022-05-16T21:18:43.882560,15.06394120,.0001401,53.0551,359.1488,62.2831,297.8300,0,U,44744,999,13826,-.63423E-4,-.1226E-4,0
STARLINK-1041,2019-074AK,2022-05-16T20:57:30.058848,15.06394985,.0001584,53.0554,359.2234,59.0395,301.0750,0,U,44746,999,13826,.124E-3,.1566E-4,0
STARLINK-1042,2019-074AL,2022-05-17T00:51:02.806560,15.06383633,.0001411,53.0574,358.4939,72.0484,288.0659,0,U,44747,999,13846,-.22343E-4,-.614E-5,0
STARLINK-1043,2019-074AM,2022-05-16T17:35:47.730912,15.06399836,.0001319,53.0551,359.8380,64.6973,295.4153,0,U,44748,999,13824,.13582E-3,.1742E-4,0
STARLINK-1046,2019-074AQ,2022-05-16T21:08:07.357344,15.06390869,.0001518,53.0564,359.1871,61.7574,298.3568,0,U,44751,999,13826,.66675E-4,.712E-5,0
STARLINK-1047,2019-074AR,2022-05-16T23:12:50.870880,15.06394049,.0001722,53.0565,338.8021,64.5632,295.5535,0,U,44752,999,13872,.10772E-3,.1323E-4,0
STARLINK-1048,2019-074AS,2022-05-16T21:45:16.032384,15.06401600,.0001411,53.0568,319.0624,89.9386,270.1765,0,U,44753,999,13882,.10966E-3,.1352E-4,0
STARLINK-1049,2019-074AT,2022-05-16T20:15:02.275776,15.06401524,.000137,53.0548,319.3604,72.0221,288.0918,0,U,44754,999,13881,.12961E-3,.165E-4,0
STARLINK-1034,2019-074AW,2022-05-16T20:17:40.841376,15.06395480,.0001512,53.0561,339.3431,65.2892,294.8254,0,U,44757,999,13853,.17915E-4,-.15E-6,0
STARLINK-1053,2019-074AX,2022-05-17T02:51:45.502560,15.06385058,.0001778,53.0543,358.1215,64.6792,295.4381,0,U,44758,999,13847,-.22544E-3,-.3637E-4,0
STARLINK-1054,2019-074AY,2022-05-16T21:50:34.806912,15.06393207,.0001392,53.0547,359.0492,79.7378,280.3767,0,U,44759,999,13591,.56041E-4,.553E-5,0
STARLINK-1055,2019-074AZ,2022-05-17T02:15:57.968352,15.06394437,.000173,53.0570,358.2237,54.3047,305.8102,0,U,44760,999,13847,-.72341E-4,-.1359E-4,0
STARLINK-1056,2019-074BA,2022-05-16T21:45:15.962400,15.06394900,.0001496,53.0568,359.0670,69.8896,290.2254,0,U,44761,999,13827,-.34114E-4,-.789E-5,0
STARLINK-1057,2019-074BB,2022-05-16T23:23:27.303648,15.06397332,.0001287,53.0567,338.7547,58.7395,301.3720,0,U,44762,999,13872,-.40564E-5,-.342E-5,0
STARLINK-1058,2019-074BC,2022-05-16T17:30:29.874816,15.06390799,.0001433,53.0549,359.8725,68.8438,291.2704,0,U,44763,999,13824,.54649E-4,.532E-5,0
STARLINK-1059,2019-074BD,2022-05-16T20:07:04.184832,15.06397623,.0001621,53.0566,339.3810,59.2091,300.9057,0,U,44764,999,13853,-.68837E-5,-.384E-5,0
STARLINK-1060,2019-074BE,2022-05-16T20:33:36.888480,15.06395083,.0001467,53.0563,339.2816,78.5406,281.5747,0,U,44765,999,13853,.48414E-4,.44E-5,0
STARLINK-1061,2019-074BF,2022-05-17T01:17:34.023264,15.06401097,.0001413,53.0575,358.4080,80.9419,279.1730,0,U,44766,999,13846,.126E-3,.1596E-4,0
STARLINK-1062,2019-074BG,2022-05-16T21:55:53.391360,15.06392290,.0001919,53.0579,359.0252,46.8661,313.2489,0,U,44767,999,13827,-.53699E-6,-.29E-5,0
STARLINK-1063,2019-074BH,2022-05-17T01:38:47.685408,15.06402884,.0001316,53.0562,358.3241,69.6803,290.4327,0,U,44768,999,13846,.15502E-5,-.258E-5,0
STARLINK-1065,2019-074BK,2022-05-16T20:44:02.370912,15.14543368,.0001062,53.0023,346.1094,119.4234,240.6864,0,U,44770,999,13841,.15924E-2,.29518E-3,0
STARLINK-1067,2019-074BL,2022-05-16T14:14:06.293760,15.06396040,.0002011,53.0562,0.4674,40.3946,319.7192,0,U,44771,999,13822,.74674E-4,.831E-5,0
STARLINK-1068,2019-074BM,2022-05-16T20:22:59.416320,15.06400618,.0001498,53.0553,339.3310,75.0510,285.0644,0,U,44772,999,13853,.28995E-4,.15E-5,0
STARLINK-1073,2020-001A,2022-05-17T04:44:34.906272,15.06394858,.0002256,53.0544,117.7513,49.1183,311.0002,0,U,44914,999,12996,-.54859E-4,-.1099E-4,0
STARLINK-1084,2020-001B,2022-05-17T05:27:02.423232,15.06398795,.0001716,53.0560,117.6108,52.1234,307.9910,0,U,44915,999,12997,.37976E-4,.284E-5,0
STARLINK-1098,2020-001D,2022-05-17T05:32:20.903136,15.06395999,.0001966,53.0545,117.6046,50.7683,309.3480,0,U,44917,999,12997,.79879E-4,.908E-5,0
STARLINK-1099,2020-001E,2022-05-17T04:12:44.045856,15.06397040,.0002063,53.0532,117.8504,59.7953,300.3240,0,U,44918,999,13070,-.38401E-5,-.339E-5,0
STARLINK-1102,2020-001G,2022-05-17T04:33:55.738080,15.06427807,.0002283,53.0544,117.7940,60.9942,299.1276,0,U,44920,999,12996,.31713E-3,.4449E-4,0
STARLINK-1103,2020-001H,2022-05-17T05:05:48.528672,15.06401293,.0001878,53.0556,117.6786,57.6465,302.4706,0,U,44921,999,12994,.10418E-3,.127E-4,0
STARLINK-1104,2020-001J,2022-05-17T04:18:03.778560,15.06358182,.0002228,53.0558,117.8263,56.2881,303.8320,0,U,44922,999,12996,.67988E-3,.9848E-4,0
STARLINK-1106,2020-001K,2022-05-16T16:10:53.112576,15.06393089,.0002031,53.0562,120.1122,55.7054,304.4127,0,U,44923,999,12988,.12222E-3,.1539E-4,0
STARLINK-1111,2020-001L,2022-05-16T22:17:06.980928,15.06399298,.0002074,53.0546,118.9712,55.0837,305.0347,0,U,44924,999,12992,.745E-4,.828E-5,0
STARLINK-1112,2020-001M,2022-05-17T05:00:30.018528,15.06397423,.0002057,53.0546,117.7001,52.2977,307.8199,0,U,44925,999,12996,.76692E-4,.861E-5,0
STARLINK-1113,2020-001N,2022-05-17T04:49:00.006528,15.05592478,.0001563,53.0018,117.7571,65.0144,295.1006,0,U,44926,999,13066,.85346E-4,.965E-5,0
STARLINK-1114,2020-001P,2022-05-17T05:16:25.879008,15.06393387,.0001963,53.0548,117.6467,47.0062,313.1091,0,U,44927,999,12997,-.26416E-4,-.675E-5,0
STARLINK-1119,2020-001Q,2022-05-16T16:26:48.259392,15.06395626,.0002361,53.0515,120.0510,44.2586,315.8591,0,U,44928,999,12989,.31675E-4,.19E-5,0
STARLINK-1121,2020-001R,2022-05-16T16:05:33.896544,15.06397150,.0002053,53.0544,120.1121,42.7461,317.3687,0,U,44929,999,12988,.86169E-4,.1002E-4,0
STARLINK-1123,2020-001S,2022-05-17T05:37:39.266400,15.06399685,.0002055,53.0553,117.5817,57.5798,302.5389,0,U,44930,999,12997,.161E-5,-.258E-5,0
STARLINK-1128,2020-001T,2022-05-16T15:33:49.308768,15.10683013,.0004266,53.0535,115.6823,28.9445,331.1782,0,U,44931,999,13069,-.11371E-4,-.485E-5,0
STARLINK-1130 (DARKSAT),2020-001U,2022-05-16T16:37:24.828672,15.06399595,.0002104,53.0537,120.0288,39.5545,320.5598,0,U,44932,999,13112,-.34056E-4,-.789E-5,0
STARLINK-1144,2020-001V,2022-05-17T04:23:21.128352,15.06392890,.0002052,53.0550,117.8313,63.1798,296.9401,0,U,44933,999,13125,.69938E-4,.76E-5,0
STARLINK-1071,2020-001W,2022-05-16T20:44:13.626240,15.06396987,.0001936,53.0550,99.2601,57.1808,302.9367,0,U,44934,999,13019,.91615E-4,.1083E-4,0
STARLINK-1079,2020-001Z,2022-05-16T20:12:22.428864,15.06405257,.0002053,53.0543,99.3572,59.5696,300.5496,0,U,44937,999,13019,-.58887E-5,-.369E-5,0
STARLINK-1082,2020-001AA,2022-05-17T04:57:51.030432,15.06395414,.000212,53.0551,97.7192,50.7168,309.4008,0,U,44938,999,13024,.47869E-5,-.21E-5,0
STARLINK-1083,2020-001AB,2022-05-16T14:48:36.065376,15.06403252,.000201,53.0546,100.3615,50.6534,309.4633,0,U,44939,999,13015,.19561E-3,.2633E-4,0
STARLINK-1091,2020-001AC,2022-05-16T15:04:31.560384,15.06397583,.0002225,53.0549,100.3153,44.0574,316.0592,0,U,44940,999,13015,-.12591E-4,-.469E-5,0
STARLINK-1094,2020-001AD,2022-05-16T21:58:31.858464,15.06403241,.0002207,53.0546,99.0252,57.3965,302.7237,0,U,44941,999,13020,.21978E-5,-.249E-5,0
STARLINK-1096,2020-001AE,2022-05-17T03:59:15.553536,15.06483563,.000201,53.0551,97.8908,63.9295,296.1901,0,U,44942,999,13024,.35621E-3,.504E-4,0
STARLINK-1100,2020-001AF,2022-05-17T05:03:09.201024,15.06395606,.000188,53.0556,97.7033,61.0175,299.1002,0,U,44943,999,13024,-.96872E-5,-.426E-5,0
STARLINK-1108,2020-001AG,2022-05-16T20:38:55.110912,15.06393163,.000187,53.0551,99.2730,47.2740,312.8406,0,U,44944,999,13019,.10026E-3,.1212E-4,0
STARLINK-1109,2020-001AH,2022-05-17T03:43:32.143296,15.06399098,.0002496,53.0556,97.9403,45.4596,314.6596,0,U,44945,999,13023,.90298E-4,.1063E-4,0
STARLINK-1110,2020-001AJ,2022-05-17T02:58:55.652736,15.12990718,.000275,53.0052,87.9395,79.7162,280.4140,0,U,44946,999,13034,.12993E-2,.22974E-3,0
STARLINK-1116,2020-001AK,2022-05-16T21:53:13.288704,15.06396674,.0002283,53.0556,99.0285,56.1957,303.9249,0,U,44947,999,13020,.36203E-4,.257E-5,0
STARLINK-1122,2020-001AM,2022-05-16T14:32:42.406368,15.06399577,.0002137,53.0546,100.4131,64.6847,295.4363,0,U,44949,999,13015,.21999E-3,.2996E-4,0
STARLINK-1125,2020-001AN,2022-05-16T21:40:25.691232,15.08728663,.0002519,53.0521,98.5486,81.3561,278.7715,0,U,44950,999,13020,.14886E-2,.23413E-3,0
STARLINK-1126,2020-001AP,2022-05-17T03:32:42.581184,15.12657932,.0002889,53.0055,88.6171,80.4965,279.6352,0,U,44951,999,13162,.12715E-2,.22264E-3,0
STARLINK-1117,2020-001AQ,2022-05-17T04:26:00.587328,15.06390619,.0002464,53.0556,97.8178,42.9012,317.2169,0,U,44952,999,13024,.54099E-4,.524E-5,0
STARLINK-1124,2020-001AR,2022-05-17T04:51:11.355264,15.06398493,.0001551,53.0548,97.7250,60.5261,299.5883,0,U,44953,999,13153,.35167E-4,.242E-5,0
STARLINK-1066,2020-001AS,2022-05-17T03:35:35.111616,15.06390312,.0001878,53.0574,77.9628,53.0035,307.1125,0,U,44954,999,13046,.3951E-5,-.223E-5,0
STARLINK-1069,2020-001AT,2022-05-16T19:48:29.645568,15.06387136,.0002048,53.0550,79.4367,49.3688,310.7479,0,U,44955,999,13041,.39525E-3,.5608E-4,0
STARLINK-1070,2020-001AU,2022-05-17T03:40:53.429088,15.06388844,.0001398,53.0558,77.9658,62.4684,297.6447,0,U,44956,999,13052,-.40257E-4,-.881E-5,0
STARLINK-1074,2020-001AV,2022-05-17T02:42:31.022784,15.06384327,.0001759,53.0550,78.1433,53.8242,306.2909,0,U,44957,999,13051,-.98526E-4,-.1748E-4,0
STARLINK-1076,2020-001AX,2022-05-17T03:03:44.657280,15.06375086,.000227,53.0543,78.0693,50.0570,310.0618,0,U,44959,999,13051,-.38049E-3,-.5941E-4,0
STARLINK-1080,2020-001AZ,2022-05-16T20:52:11.399232,15.06394430,.0001601,53.0570,79.2436,63.3231,296.7922,0,U,44961,999,13048,.34881E-4,.238E-5,0
STARLINK-1085,2020-001BB,2022-05-16T20:14:32.324352,15.13895915,.0002666,52.9991,69.0000,72.2217,287.9065,0,U,44963,999,13132,.14867E-2,.27029E-3,0
STARLINK-1086,2020-001BC,2022-05-16T19:59:06.639072,15.06395995,.0001422,53.0551,79.3868,61.1267,298.9864,0,U,44964,999,13047,.96798E-4,.116E-4,0
STARLINK-1088,2020-001BE,2022-05-16T20:30:57.572928,15.06398511,.0001767,53.0558,79.3029,61.7297,298.3870,0,U,44966,999,13047,.55701E-4,.548E-5,0
STARLINK-1089,2020-001BF,2022-05-16T19:27:15.574752,15.06395191,.0001627,53.0552,79.5009,60.6156,299.4996,0,U,44967,999,13047,.21768E-4,.43E-6,0
STARLINK-1090,2020-001BG,2022-05-17T03:19:39.340992,15.06393668,.0001716,53.0566,78.0304,56.2855,303.8297,0,U,44968,999,13052,.60497E-4,.619E-5,0
STARLINK-1092,2020-001BH,2022-05-16T20:46:52.502880,15.06396355,.0001645,53.0552,79.2513,68.6669,291.4495,0,U,44969,999,13047,-.57537E-4,-.1138E-4,0
STARLINK-1093,2020-001BJ,2022-05-17T02:37:11.830080,15.06390394,.0001492,53.0553,78.1510,63.8965,296.2178,0,U,44970,999,13050,-.60131E-5,-.371E-5,0
STARLINK-1107,2020-001BL,2022-05-17T03:30:16.834752,15.06385367,.0001573,53.0579,77.9998,61.6338,298.4809,0,U,44972,999,13052,.37711E-5,-.225E-5,0
STARLINK-1115,2020-001BM,2022-05-17T02:58:25.678848,15.06395152,.0002177,53.0548,78.0955,35.2827,324.8305,0,U,44973,999,13051,.58622E-6,-.273E-5,0
STARLINK-1132,2020-006A,2022-05-16T19:59:06.509472,15.06398930,.000184,53.0554,39.4073,65.4368,294.6812,0,U,45044,999,12680,-.52491E-4,-.1063E-4,0
STARLINK-1120,2020-006B,2022-05-16T18:04:59.471904,15.06402129,.0001902,53.0557,59.7463,48.1842,311.9309,0,U,45045,999,12651,.18683E-4,-.3E-7,0
STARLINK-1129,2020-006C,2022-05-16T21:09:11.791872,15.13567410,.0002477,52.9964,49.1271,95.9457,264.1817,0,U,45046,999,12663,.14808E-2,.2667E-3,0
STARLINK-1131,2020-006D,2022-05-16T19:45:51.792768,15.06382904,.0001664,53.0562,59.4428,61.9992,298.1165,0,U,45047,999,12652,.37659E-4,.279E-5,0
STARLINK-1134,2020-006E,2022-05-16T19:56:26.958048,15.06397514,.0001559,53.0550,59.3948,71.6657,288.4501,0,U,45048,999,12652,.50891E-5,-.206E-5,0
STARLINK-1135,2020-006F,2022-05-16T11:38:43.103040,15.09010466,.0000653,53.0561,60.0894,47.7128,312.3917,0,U,45049,999,12648,.1661E-2,.26372E-3,0
STARLINK-1140,2020-006G,2022-05-16T20:12:22.503168,15.06402786,.0001782,53.0549,59.3471,63.9276,296.1896,0,U,45050,999,12652,.15477E-3,.2025E-4,0
STARLINK-1141,2020-006H,2022-05-16T20:05:40.635168,15.11436304,.0002453,53.0517,56.5465,88.4295,271.6977,0,U,45051,999,12656,.14897E-2,.25266E-3,0
STARLINK-1148,2020-006J,2022-05-16T20:23:00.652704,15.06408554,.0001625,53.0558,59.3148,58.1857,301.9290,0,U,45052,999,12652,.63032E-4,.658E-5,0
STARLINK-1155,2020-006K,2022-05-16T20:15:49.077792,15.11867887,.0002467,53.0028,52.8040,82.0410,278.0861,0,U,45053,999,12658,.17789E-2,.30619E-3,0
STARLINK-1156,2020-006L,2022-05-16T20:17:41.257824,15.06398655,.0001662,53.0546,59.3480,61.0161,299.0994,0,U,45054,999,12652,.10405E-3,.1269E-4,0
STARLINK-1159,2020-006P,2022-05-16T20:38:55.040064,15.06404939,.0001725,53.0574,59.2602,65.6146,294.5023,0,U,45057,999,12653,.29108E-3,.4057E-4,0
STARLINK-1162,2020-006Q,2022-05-16T12:30:36.126144,15.06400778,.000177,53.0568,60.7872,58.5118,301.6044,0,U,45058,999,12648,.74861E-4,.834E-5,0
STARLINK-1165,2020-006R,2022-05-16T21:00:09.020160,15.06396297,.000137,53.0559,59.2139,70.4035,289.7102,0,U,45059,999,12653,-.37445E-4,-.839E-5,0
STARLINK-1166,2020-006S,2022-05-16T04:59:27.013920,15.06390419,.0002076,53.0566,62.2038,52.9202,307.1977,0,U,45060,999,12643,.75228E-4,.839E-5,0
STARLINK-1169,2020-006T,2022-05-16T17:54:22.657248,15.06391746,.0001704,53.0548,59.7899,57.1423,302.9729,0,U,45061,999,12651,-.83545E-5,-.406E-5,0
STARLINK-1171,2020-006U,2022-05-16T19:08:41.169408,15.06394251,.0001552,53.0562,59.5518,52.4048,307.7082,0,U,45062,999,12652,.52858E-4,.506E-5,0
STARLINK-1133,2020-006W,2022-05-16T17:51:42.685920,15.06406250,.0001861,53.0565,39.8020,70.8815,289.2376,0,U,45064,999,12679,-.77476E-4,-.1436E-4,0
STARLINK-1139,2020-006X,2022-05-16T03:37:10.697664,15.06386243,.0001683,53.0563,42.4629,63.7198,296.3963,0,U,45065,999,12670,.8291E-4,.953E-5,0
STARLINK-1145,2020-006Y,2022-05-16T10:57:42.760224,15.06403061,.0001617,53.0546,41.0849,52.9202,307.1935,0,U,45066,999,12674,.23102E-3,.3161E-4,0
STARLINK-1150,2020-006Z,2022-05-16T17:41:06.571968,15.06402177,.0001607,53.0576,39.8174,65.4947,294.6210,0,U,45067,999,12679,.22146E-3,.3019E-4,0
STARLINK-1161,2020-006AA,2022-05-16T20:13:40.829088,15.06399044,.0001431,53.0603,39.2124,68.9318,291.1824,0,U,45068,999,12680,.24577E-4,.85E-6,0
STARLINK-1167,2020-006AD,2022-05-16T20:04:25.174272,15.06394917,.0001911,53.0554,39.3939,58.2921,301.8254,0,U,45071,999,12680,-.16905E-4,-.533E-5,0
STARLINK-1168,2020-006AE,2022-05-16T20:09:43.439040,15.06401305,.0001856,53.0570,39.3663,46.2627,313.8516,0,U,45072,999,12680,.45168E-4,.391E-5,0
